,"Mar 26"
"Ordinary Income/Expense",""
"Income",""
"Sales",985555.20
"Total Income",985555.20
"Cost of Goods Sold",""
"Cost of Goods Sold",""
"Payroll",""
"Direct Labor- Samuel Hale",229361.64
"Direct Labor- Workforce",18863.16
"Total Payroll",248224.80
"Purchases",""
"Chemical & Dyestuffs",163489.39
"Finishing Supplies",""
"Poly Bags",2225.00
"Total Finishing Supplies",2225.00
"Lab Supplies (Testing)",1185.00
"Plant Supplies & Parts",4358.36
"Total Purchases",171257.75
"Utilities",""
"Electricity",53560.53
"Gas",72248.76
"Wastewater Surcharge (Current)",19618.92
"Water",33721.74
"Total Utilities",179149.95
"Total Cost of Goods Sold",598632.50
"Knitting",1514.46
"Total COGS",600146.96
"Gross Profit",385408.24
"Expense",""
"Automobile Expense",5838.02
"Bank Service Charges",467.84
"Computer and Internet Expenses",1043.01
"Contract Labor",10000.00
"Employee Benefits",3812.24
"Equipment Rental",54.25
"Insurance-General Admin.",""
"Insurance-Health",5398.16
"Insurance-Trade Credit",11840.00
"Insurance-Truck",1923.62
"Total Insurance-General Admin.",19161.78
"Interest Expenses",14755.38
"Licenses and Permits",""
"Permits",668.50
"Total Licenses and Permits",668.50
"Office Expense",1139.78
"Office Supplies & Printing",156.86
"Outside Service",2700.00
"Payroll Expenses",43330.92
"Payroll Taxes",""
"EDD",3082.62
"Total Payroll Taxes",3082.62
"Post Office Charge",330.15
"Professional Fees",""
"Trucking Transportation",6353.90
"Professional Fees - Other",3000.00
"Total Professional Fees",9353.90
"Rent Expense",91178.66
"Rent Management Fee",16764.33
"Repairs and Maintenance",""
"Equipment",1525.00
"Total Repairs and Maintenance",1525.00
"sales commision",3000.00
"Sales Promotion",559.50
"Telephone Expense",920.65
"Travel & Entertainment",""
"Travel",42.20
"Total Travel & Entertainment",42.20
"Waste Disposal",3787.43
"Total Expense",233673.02
"Net Ordinary Income",151735.22
"Net Income",151735.22
